word,trans,example
simply,"adv.简单地；仅仅；简直；朴素地；坦白地
","1. This work is simply not good enough.
这工作做得实在不够好。
2. He simply won’t accept the committee’s decision.
他根本不接受委员会的决定。
3. That would be simply wonderful!
那简直太棒了！
4. It is quite simply the most ridiculous idea I’ve ever heard.
这简直是我听到过的最荒唐的想法。
"
largely,"adv.主要地；大部分；大量地
","1. The state of Nevada is largely desert.
内华达州大部分是沙漠。
2. It had been a tiring day, largely because of all the tedious waiting.
那一天真累人，主要是因为等得无聊。
"
evolution,"n.演变；进化论；进展
","1. the theory of evolution
进化论
"
enhance,"v.提高；加强；增加
","1. Good lighting will enhance any room.
良好的照明能给房间增色不少。
2. The publicity has enhanced his reputation.
这次宣传提高了他的声誉。
"
emotion,"n.情感；情绪
","1. Her voice was full of emotion.
她的声音充满了激情。
2. She was good at hiding her emotions.
她很会掩饰自己的情感。
3. Kim received the news without showing any visible sign of emotion.
金接到消息时丝毫不露声色。
"
usual,"adj.通常的，惯例的；平常的
","1. Make a cheese sauce in the usual way.
按通常的做法做奶酪酱。
2. I’ll meet you at the usual time.
我在老时间和你碰头。
3. She ate twice as much as usual.
她吃了平时食量两倍的东西。
"
guide,"n.指南；向导；入门书
v.引导；带领；操纵
","1. a tour guide
导游
2. an experienced mountain guide
一位有经验的登山向导
"
economy,"n.经济；节约；理财
","1. a successful economy
发展成功的经济
2. the slowdown in the Japanese economy
日本经济的减缓
"
exist,"v.存在；生存；生活；继续存在
","1. The custom of arranged marriages still exists in many countries.
许多国家仍存在包办婚姻的习俗。
2. Opportunities exist for students to gain sponsorship.
学生有机会获得资助。
3. Stop pretending that the problem doesn’t exist.
别再假装这个问题不存在了。
4. The club will cease to exist if financial help is not found.
该俱乐部要是得不到资助将不复存在。
"
politics,"n.政治，政治学；政治活动；政纲
","1. a good understanding of politics in China
对中国政治很好的了解
2. modern American politics
现代美国政治
3. Politics have always interested Anita.
阿妮塔一直对政治感兴趣。
"
expose,"v.揭露，揭发；使曝光；显示
","1. He lifted his T-shirt to expose a jagged scar across his chest.
他撩起T恤衫，露出横贯胸部的锯齿状伤疤。
"
technology,"n.技术；工艺；术语
","1. Modern technology makes moving money around much easier than it used to be.
现代科技使货币流动比以前便捷得多。
2. Advances in technology have improved crop yields by over 30%.
科技的进步使庄稼产量提高了30%以上。
3. There have been major new developments in satellite technology.
卫星技术有了重大的新发展。
4. Many people are unwilling to embrace new technologies.
很多人不愿意接受新科技。
"
predict,"v.预报，预言；预知
","1. Sales were five percent lower than predicted.
销售额比预期低5%。
2. As Liz had predicted , the rumours were soon forgotten.
正如利兹所预料的，流言很快就被淡忘了。
"
epidemic,"adj.流行的；传染性的
n.传染病；流行病；风尚等的流行
","1. Over 500 people died during last year’s flu epidemic.
去年流感大暴发期间有五百多人死亡。
"
smoke,"n.烟；抽烟；无常的事物
v.冒烟，吸烟；抽烟；弥漫
","1. cigarette smoke
香烟的烟雾
2. Smoke from burning fields drifted across nearby roads.
地里燃烧产生的烟雾飘到了附近的公路上。
3. the pall of smoke (= thick cloud of smoke ) that hung over the city
笼罩在城市上空的浓烟
"
firm,"adj.坚定的；牢固的；严格的；结实的
v.使坚定；使牢固
adv.稳固地
n.公司；商号
","1. The sofa cushions are fairly firm.
沙发的坐垫很硬。
2. a firm green apple
硬的青苹果
3. Most doctors recommend sleeping on a firm mattress.
大多数医生建议睡硬床垫。
"
discipline,"n.学科；纪律；训练；惩罚
v.训练，训导；惩戒
","1. The book gives parents advice on discipline.
这本书指导父母如何管教孩子。
2. serious discipline problems in the police force
警察队伍内严重的纪律问题
"
emphasize,"v.强调，着重
","1. The report emphasizes the importance of improving safety standards.
报告强调了改进安全标准的重要性。
2. Logan made a speech emphasizing the need for more volunteers.
罗根发表演讲，强调需要更多的志愿者。
"
poetry,"n.诗；诗意，诗情；诗歌艺术
","1. He reads a lot of poetry.
他大量阅读诗歌。
2. a poetry magazine
诗歌杂志
"
conscious,"adj.意识到的；故意的；神志清醒的
","1. The driver was still conscious when the ambulance arrived.
救护车赶到时，司机仍然神志清醒。
"
goal,"n.目标；球门，得分数；终点
vi.攻门，射门得分
","1. Your goal as a parent is to help your child become an independent adult.
身为父母，你的目标就是要培养孩子成为独立的成年人。
"
outcome,"n.结果，结局；成果
","1. People who had heard the evidence at the trial were surprised at the outcome.
在审判过程中听过证词的人都对此结果感到吃惊。
"
reader,"n.读者；阅读器；读物
","1. The book will appeal to young readers.
这本书会吸引年轻读者。
2. I’ve always been an avid reader (= someone who reads a lot ) .
我向来是一个嗜书如命的人。
"
reputation,"n.名声，名誉；声望
","1. Alice Munro has a reputation for being a very depressing writer.
艾丽斯•门罗有文风抑郁的名声。
"
identify,"v.确定；鉴定；识别，辨认出；使参与；把…看成一样 vi确定；认同；一致
","1. He was too far away to be able to identify faces.
他离得太远，没法看面孔认出谁是谁。
2. The police took fingerprints and identified the body.
警方采集了指纹，对尸体作了身份确认。
"
express,"v.表达；快递
adj.明确的；迅速的；专门的
n.快车，快递，专使；捷运公司
","1. Parents have expressed their concerns about their children’s safety.
父母对自己孩子的安全表示忧虑。
2. She expressed an interest in seeing York.
她表示有兴趣见见约克。
3. Many people have expressed their opposition to the proposals.
许多人反对这些提议。
4. He first learnt to express himself through movement at hisdance classes.
他最初是在舞蹈班学会通过动作表达情感的。
5. Words can’t express (= it is impossible to describe ) how angry we felt.
我们的愤怒无以言表。
"
policy,"n.政策，方针；保险单
","1. an insurance policy
保险单
"
spy,"v.侦察；发现；暗中监视
n.间谍；密探
","1. Ellen suddenly spied her friend in the crowd.
埃伦突然在人群中找到了她的朋友。
"
church,"n.教堂；礼拜；教派
adj.教会的；礼拜的
v.领…到教堂接受宗教仪式
","1. a short church service
简短的教堂礼拜仪式
2. church bells
教堂的钟
"
wrong,"adv.错误地；邪恶地，不正当地
n.坏事；不公正
adj.错误的；失常的；不适当的
v.委屈；无理地对待；诽谤
","1. You’ve spelt my name wrong.
你把我的名字拼错了。
2. What? Have I done it wrong ?
什么？我做得不对吗？
3. I asked him to sort those files, but he’s done it all wrong (= in completely the wrong way ) .
我让他整理这些文件，可是他弄得根本不对。
4. I must have added it up wrong, then.
那我一定是加错了。
5. It looks like it's spelled wrong.
看起来像是拼错了。
"
measure,"n.测量；措施；程度；尺寸
v.测量；估量；权衡
","1. New safety measures were being demanded after last night’s horrific train crash.
昨晚发生严重的火车相撞事故后，民众要求制定新的安全措施。
2. The new bridge was erected as a temporary measure to replace the one which was destroyed by floods.
建这座新桥是为了临时代替被洪水毁坏的那座桥。
"
prove,"v.证明；检验；显示
","1. You’re wrong, and I can prove it.
你错了，我可以证明。
2. To prove his point (= show that he was right ) , he mentioned several other experiments which had produced similar results.
为了证明自己的观点，他提到了另外几个结果相似的实验。
"
competition,"n.竞争；比赛，竞赛
","1. Going to trade fairs is an ideal opportunity to size up the competition .
参加商品交易会是估量竞争规模的理想机会。
"
majority,"n.多数；成年
","1. The Labour Party won a huge majority at the last general election.
工党在上次大选中以巨大的票数优势获胜。
"
store,"n.商店；储备，贮藏；仓库
v.贮藏，储存
","1. At Christmas the stores stay open late.
在圣诞节期间，商店营业到很晚。
"
story,"n.故事；小说；新闻报道；来历；假话
vt.用历史故事画装饰
vi.说谎
","1. a book of short stories
短篇小说集
2. We cuddled together over a bedtime story .
我们依偎在一起看睡前故事。
3. The film was based on a true story .
这部影片是根据真实故事改编的。
4. Don’t be frightened – it’s only a story (= it is imaginary ) .
别害怕，这只是一个故事。
"
current,"adj.现在的；流通的，通用的；最近的；草写的
n.（水，气，电）流；趋势；涌流
","1. Current thinking suggests that toxins only have a small part to play in the build-up of cellulite.
流行的观点认为毒素只对脂肪团形成起很小的作用。
"
scholar,"n.学者；奖学金获得者
","1. a Shakespearean scholar
研究莎士比亚的学者
"
increasingly,"adv.越来越多地；渐增地
","1. Marketing techniques are becoming increasingly sophisticated.
市场营销技巧越来越巧妙。
2. Increasingly, young people distrust all forms of government.
年轻人越来越不相信任何形式的政府。
"
expect,"v.期望；指望；认为；预料
","1. He will be hard to beat. I fully expect (= am completely sure about ) that and I’m ready.
他很难击败。我确信这一点，不过我准备好了。
2. ‘Who are you?’ he murmured, only half expecting (= thinking it was possible, but not likely ) her to answer.
“你是谁？”他低声问道，预计她可能不会回答。
3. He didn’t get his expected pay rise.
他没有得到他预想的加薪。
"
acquire,"v.获得；取得；学到；捕获
","1. Manning hoped to acquire valuable works of art as cheaply as possible.
曼宁希望以尽可能低的价格买到有价值的艺术品。
2. She has acquired an email address and a site on the World Wide Web.
她获得了一个电子邮件地址和万维网网址。
"
occur,"v.发生；出现；存在
","1. A third of accidental deaths occur in the home.
有三分之一的意外死亡发生在家里。
2. The explosion occurred at 5.30 a.m.
爆炸发生在清晨5点30分。
"
reflect,"v.反映；反射，照出；表达；显示;反省
","1. The drop in consumer spending reflects concern about the economy.
消费支出的下降反映出人们对经济的担忧。
"
progress,"n.进步，发展；前进
v.前进，进步；进行
","1. We made good progress despite the snow.
尽管下雪，我们的行程还是很顺利。
"
global,"adj.全球的；总体的；球形的
","1. global climate change
全球气候变化
2. the global economy
全球经济
"
remember,"v.记得；牢记；纪念；代…问好
","1. Do you remember Rosa Davies?
你记得罗莎·戴维斯吗？
2. I can’t remember her exact words.
我记不得她的原话了。
3. I remember it well ; I’d never seen my mother so angry.
这件事我记得很清楚；我从未见过母亲这么生气。
4. She clearly remembers the excitement as they boarded the train.
她清楚地记得他们登上火车时的激动心情。
5. I vaguely remember reading something about it in the paper.
我隐约记得在报纸上看到过有关情况。
6. They had three children, if I remember rightly .
如果我没记错，他们有三个孩子。
7. They’ve lived here for as long as I can remember .
在我记忆中他们一直都住在这儿。
8. No one got drunk as far as I can remember .
我记得当时没有人喝醉酒。
"
consumption,"n.消费；消耗；肺痨
","1. Vigorous exercise increases oxygen consumption.
剧烈运动增加氧的消耗。
"
advance,"n.发展；前进；增长；预付款
v.提出；预付；使……前进；将……提前
adj.预先的；先行的
","1. a major advance
一项重大进展
2. the advances made in the understanding of mental handicap
在了解智障方面取得的进步
3. They don't normally give any advance notice about which building they're going to inspect.
他们对要视察哪座大楼通常不作事先通知。
"
advocate,"v.提倡，主张，拥护
n.提倡者；支持者；律师
","1. Extremists were openly advocating violence.
极端主义者公开鼓吹使用暴力。
"
sort,"n.种类；方式；品质
v.分类；协调；交往
","1. Most of the victims developed psychological problems of one sort or another (= of various different types ) .
大多数受害者都出现了这样那样的心理问题。
2. They do burgers, pizzas, that sort of thing .
他们供应汉堡包、比萨饼什么的。
"
wake,"v.醒来；唤醒；警觉
n.尾迹；守夜；守丧
","1. When she woke, the sun was streaming through the windows.
她醒来时，阳光泻入窗内。
2. Try not to wake the baby.
尽量不要吵醒宝宝。
"
doubt,"n.怀疑；疑问；疑惑
v.怀疑；不信；恐怕；拿不准
","1. There was still one little nagging doubt at the back of his mind.
他的心头仍有一丝挥之不去的疑虑。
"
figure,"n.数字；人物；图形；价格；（人的）体形；画像
v.计算；出现；扮演角色
","1. A hexagon is a six-sided figure.
六边形是一种有六条边的几何图形。
"
association,"n.协会，联盟，社团；联合；联想
","1. the Association of Master Builders
建筑师协会
"
relation,"n.关系；叙述；故事；亲属关系
","1. The price the meat is sold for bears no relation to (= is not connected to ) the price the farmer receives.
肉的售价和农民拿到的价格无关。
"
stop,"v.停止；堵塞；断绝
n.停止；车站；障碍；逗留
","1. Stop throwing those stones!
别再扔那些石头了！
"
aspect,"n.方面；方向；形势；外貌
","1. a south-facing aspect
朝南方向
"
contribute,"v.贡献，出力；投稿；捐献
","1. The three sons also contribute to the family business.
3个儿子也为家族企业做贡献。
"
preserve,"v.保存；保护；维持；腌；禁猎
n.保护区；禁猎地；加工成的食品
","1. We must encourage the planting of new trees and preserve our existing woodlands.
我们必须鼓励栽种新树木，同时也要保护现有的林地。
"
memory,"n.记忆，记忆力；内存，[计] 存储器；回忆
","1. He has lots of happy memories of his stay in Japan.
他对在日本逗留的那段时光有许多美好的回忆。
"
examine,"v.检查；调查； 检测；考试
","1. A team of divers was sent down to examine the wreck.
一组潜水员被送到水下检查沉船。
2. Hegel’s philosophy will be examined in detail in Chapter 4.
黑格尔的哲学将在第4章作详细探讨。
"
obvious,"adj.明显的；显著的；平淡无奇的
","1. The obvious way of reducing pollution is to use cars less.
减少污染显而易见的办法就是少用汽车。
"
learning,"n.学习；学问
v.学习（learn的现在分词）
","1. a man of great learning
学识渊博的人
"
tradition,"n.惯例，传统；传说
","1. the traditions of South East Asia
东南亚的传统
2. the tradition that the eldest son inherits the property
长子继承家产的传统
3. By tradition, it’s the bride’s parents who pay for the wedding.
根据传统习俗，婚礼的费用由新娘的父母承担。
"
special,"n.特使，特派人员；特刊；特色菜；专车；特价商品
adj.特别的；专门的，专用的
","1. a lunch special for $4.99
4.99 美元的特惠午餐
"
benefit,"n.利益，好处；救济金
v.有益于，对…有益
","1. I never had the benefit of a university education.
我从未受过大学教育。
2. The new credit cards will be of great benefit to our customers.
新信用卡将大大方便我们的客户。
3. I hope that the decision taken today will be to the benefit of the whole nation.
我希望今天所作的决定将惠及我们整个国家。
"
attract,"v.吸引；引起
","1. I’m not usually attracted to blondes.
我一般不喜欢金发女子。
"
similar,"adj.相似的
n.类似物
","1. We have similar tastes in music.
我们对音乐的品位相近。
2. Both approaches seem to achieve similar results.
两种方法都得出了相似的结果。
3. A number of his friends had been affected in a similar way .
他的一些朋友也受到了类似的影响。
4. The two products look quite similar .
这两种产品看上去很相似。
"
statement,"n.声明；陈述，叙述；报表，清单
","1. In an official statement, she formally announced her resignation.
在一份官方声明中，她正式宣布辞职。
"
establish,"v.建立；创办；安置
","1. The city of Boerne was established by German settlers in the 1840s.
博恩市是德国移民于19世纪40年代建立的。
2. Our goal is to establish a new research centre in the North.
我们的目标是在北方建立一个新的研究中心。
"
avoid,"v.避免；避开，躲避；消除
","1. Road safety is taught to young children to avoid road accidents.
小孩子受到道路安全知识的教育，以避免交通事故。
2. It is important to take measures to avoid the risk of fire.
采取措施避免火灾风险很重要。
3. Alan narrowly avoided an accident.
艾伦险出事故。
"
secure,"adj.安全的；无虑的；有把握的；稳当的
v.保护；弄到；招致；缚住
","1. Companies can offer secure credit card transactions over the Internet.
公司可以提供安全的网上信用卡交易。
"
collection,"n.采集，聚集；[税收] 征收；收藏品；募捐
","1. We’ll be taking up a collection at the end of tonight’s service.
我们在今晚的仪式之后将举行募捐活动。
"
replace,"v.取代，代替；替换，更换；归还，偿还；把…放回原处
","1. I’m replacing Sue on the team.
我将接替队里的休。
2. Lectures have replaced the old tutorial system.
课堂授课取代了旧式的导师制。
"
lack,"v.缺乏；不足；没有；需要
n.缺乏；不足
","1. Alex’s real problem is that he lacks confidence.
亚历克斯的真正问题是缺乏信心。
"
origin,"n.起源；原点；出身；开端
","1. The tradition has its origins in the Middle Ages.
这一传统源于中世纪。
2. old folk tales of unknown origin
起源不明的古老民间传说
"
dynamic,"adj.动态的；动力的；动力学的；有活力的
n.动态；动力
","1. a dynamic and unstable process
不断变化的、不稳定的过程
"
suffer,"v.遭受；忍受；经历
n.(Suffer)人名；(意)苏费尔
","1. At least he died suddenly and didn’t suffer.
至少他死得突然，没有遭罪。
2. She’s suffering a lot of pain.
她遭受着巨大的痛苦。
"
female,"adj.女性的；雌性的；柔弱的，柔和的
n.女人；[动] 雌性动物
","1. female voters
女性选民
2. Over half of the staff is female.
半数以上的员工是女性。
"
disease,"n.病，[医] 疾病；弊病
vt.传染；使…有病
","1. His father died of heart disease.
他父亲死于心脏病。
2. She contracted the disease while she was abroad on holiday.
她在国外度假时染上了这种疾病。
"
charge,"n.费用；电荷；掌管；控告；命令；负载
v.使充电；使承担；指责；装载；对…索费；向…冲去
","1. Guided tours are provided at no charge .
免费提供有导游带队的观光游览。
2. Your order will be sent free of charge (= with no cost ) .
你订的货物将免费运送。
"
stock,"n.股份，股票；库存；血统；树干；家畜
adj.存货的，常备的；平凡的
v.进货；备有；装把手于…
","1. We have a huge stock of quality carpets on sale.
我们备有大量优质地毯出售。
"
executive,"adj.行政的；经营的；执行的，经营管理的
n.总经理；执行委员会；执行者；经理主管人员
","1. a commission with executive powers
有执行权的委员会
"
negotiate,"v.谈判，商议；转让；越过
","1. His first aim is to get the warring parties back to the negotiating table (= discussing something ).
他的首要目标就是把交战各方拉回到谈判桌上。
"
rely,"v.依靠；信赖
","1. They relied heavily on the advice of their professional advisers.
他们非常依赖专业顾问的建议。
"
desire,"n.欲望；要求，心愿；性欲
v.想要；要求；希望得到…
","1. female sexual desire
女性的性欲
2. She had remarried and desired a child with her new husband.
她再婚了，想跟新任丈夫生一个孩子。
"
revenue,"n.税收，国家的收入；收益
","1. advertising revenue
广告收入
2. Strikes have cost £20 million in lost revenues .
罢工造成的收入损失达到2,000万英镑。
"
game,"n.游戏；比赛
adj.勇敢的
v.赌博
","1. The boys were playing a game in the backyard.
男孩们在后院里玩游戏。
2. He said he's game for a similar challenge next year.
他说明年他敢尝试一次类似的挑战。
"
draft,"n.汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
v.起草；制定；征募
adj.初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的
","1. the rough draft of his new novel
他的新小说的草稿
2. I read the first draft and thought it was very good.
我读了第一稿，觉得非常好。
3. All parties eventually approved the final draft (= finished form ) of the peace treaty.
各方最后都同意了和平条约的终稿。
"
separate,"v.使分离；使分开；使分居
adj.单独的；分开的；不同的；各自的；
n.分开；抽印本
","1. This will keep your dressing from separating.
这样可以防止调味汁分层。
2. First, separate the eggs (= divide the white part from the yellow part ) .
第一步，把蛋清和蛋黄分开。
"
reject,"v.拒绝；排斥；抵制；丢弃
n.被弃之物或人；次品
","1. Sarah rejected her brother’s offer of help.
萨拉拒绝了她弟弟的帮助。
2. Dexter flatly rejected (= completely rejected ) calls for his resignation.
德克斯特断然拒绝让他辞职的要求。
3. His proposal was rejected outright (= completely rejected ) .
他的建议被彻底否决了。
"
mental,"adj.精神的；脑力的；疯的
n.精神病患者
","1. The centre provides help for people suffering from mental illness .
该中心对精神病患者提供帮助。
2. Stress has an effect on both your physical and mental health .
压力对身体健康和心理健康都有影响。
"
essential,"adj.基本的；必要的；本质的；精华的
n.本质；要素；要点；必需品
","1. The essential difference between Sam and me was the fact that I took life seriously.
我和萨姆的根本区别在于我是认真对待生活的。
2. The essential point of relay racing is that it is a team effort.
接力赛跑的基本要点是讲究团队配合。
"
root,"n.根；根源；词根；祖先
v.生根；根除
","1. tree roots
树根
2. These plants produce a number of thin roots.
这些植物会长出一些细根。
"
escape,"v.逃避，避开，避免；被忘掉；被忽视
n.逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
","1. They went to the hills to escape the summer heat.
他们去山中避暑了。
2. The youth was trying to escape the clutches of two drunken female companions.
那个小伙子试图摆脱两名醉酒女伴的纠缠。
"
phenomenon,"n.现象；奇迹；杰出的人才
","1. Homelessness is not a new phenomenon .
无家可归已不是什么新现象。
"
unite,"v.使…混合；使…联合；使…团结
","1. Our goal is to unite the opposition parties and defeat the President.
我们的目标是联合各反对党挫败总统。
"
fair,"adj.公平的；美丽的，白皙的；[气象] 晴朗的
adv.公平地；直接地；清楚地
v.转晴
n.展览会；市集；美人
","1. Why does Eric get to go and I don’t? It’s not fair!
为什么埃里克能去我不能？这不公平！
2. Life isn’t always fair.
生活并非总是公平的。
3. My boss expects a lot – but he’s very fair.
我的老板要求很高——但是他很公平。
4. the question caught him fair off his guard

"
article,"n.文章；物品；条款；[语] 冠词
v.订约将…收为学徒或见习生；使…受协议条款的约束
","1. The paper’s leading article (=  the main article  ) described the government as weak.
该报社论称政府软弱。
2. newspaper articles
报纸上的文章
"
discover,"v.发现；发觉
","1. The body was discovered in a field.
尸体是在一块田地里找到的。
2. Forest Service crews often discover campfires that have not been put out completely.
林务局工作人员常常发现未完全熄灭的营火。
"
management,"n.管理；管理人员；管理部门；操纵；经营手段
","1. a lack of management skills
缺乏管理技巧
2. a management consultant
一个管理顾问
3. management training courses
管理培训课程
"
recent,"adj.最近的；近代的
","1. Irving’s most recent book
欧文最新的书
2. recent research into the causes of cancer
近来对致癌原因的研究
3. the recent past
不久前
"
recognize,"v.认出，识别；承认
","1. I didn’t recognize you in your uniform.
你穿上制服我认不出你了。
2. It was malaria, but Dr Lee hadn’t recognized the symptoms.
这是疟疾，但李医生没有认出症状。
"
insurance,"n.保险；保险费；保险契约；赔偿金
","1. Your father took out insurance to cover the mortgage.
你父亲购买了抵押借款保险。
"
inevitable,"adj.必然的，不可避免的
","1. A further escalation of the crisis now seems inevitable.
危机的进一步升级现在看来已不可避免。
"
original,"n.原件；原作；原物；原型
adj.原始的；最初的；独创的；新颖的
","1. The colours are much more striking in the original.
原作的色彩要鲜艳得多。
2. I’ll keep a copy of the contract, and give you the original.
我将留一份合同副本，把原件给你。
"
sell,"v.销售；推销；出卖；欺骗
n.销售；失望；推销术
","1. If you offer him another hundred, I think he’ll sell.
如果你再加一百元钱，我想他会卖的。
2. He regrets selling all his old records.
他后悔把所有的老唱片都卖掉了。
"
status,"n.地位；状态；情形；重要身份
","1. These documents have no legal status in Britain.
这些文件在英国并无法律效力。
2. What is your marital status (= are you married or not ) ?
你的婚姻状况是什么？
"
regard,"n.注意；尊重；问候；凝视
v.注重，考虑；看待；尊敬；把…看作；与…有关
","1. My husband sends his regards .
我丈夫向你问好。
2. Hope to see you soon. Regards, Chris
希望很快见到你。 祝安，克里斯
"
laughter,"n.笑；笑声
","1. Foster joined in the laughter.
福斯特也跟着笑了起来。
2. He looked shocked, then burst into laughter (= started laughing ).
他一脸的震惊，接着便放声大笑起来。
"
appeal,"v.呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判
n.呼吁，请求；吸引力，感染力；上诉；诉诸裁判
","1. She is not happy with the decision and plans to appeal.
她不服判决，打算上诉。
"
favor,"v.赞成；喜欢；像；赐予；证实
n.喜爱；欢心；好感
",
sensitive,"adj.敏感的；感觉的；[仪] 灵敏的；感光的；易受伤害的；易受影响的
n.敏感的人；有灵异能力的人
","1. a very sensitive child
一个很敏感的小孩
"
suit,"v.适合；使适应
n.诉讼；恳求；套装，西装；一套外衣
","1. Whatever your reason for borrowing, we have the loan that suits your needs .
不管您因何贷款，我们都会有满足您需要的贷款。
2. There’s a range of restaurants to suit all tastes .
有各种各样的餐馆可以满足所有口味。
3. There are countryside walks to suit everyone .
有适合每个人的乡村步行路径。
4. We have gifts to suit every pocket (= of all prices ) .
我们有各种价格的礼物。
5. Either steak or chicken would suit me fine .
牛排或鸡肉我都可以。
6. The climate there will suit you down to the ground (= suit you very well ) .
那儿的天气你会非常满意。
"
crime,"n.罪行，犯罪；罪恶；犯罪活动
vt.控告……违反纪律
","1. We moved here because there was very little crime.
我们搬到这里来是因为这里的犯罪率很低。
2. Police officers are being given new powers to help combat crime.
警官们被赋予新的权力帮助他们打击犯罪。
3. a police crackdown on car crime
警察对汽车犯罪活动的一次严厉打击
4. a town with a relatively low crime rate
犯罪率相对较低的一个城镇
"
circuit,"n.[电子] 电路，回路；巡回；一圈；环道
v.环行
","1. We did a circuit of the old city.
我们绕着老城走了一圈。
"
directly,"adv.直接地；立即；马上；正好地；坦率地
conj.一…就
","1. The new property tax law won’t directly affect us.
新的财产税法不会直接影响到我们。
2. We hope to bring together the countries directly involved in the conflict.
我们希望让直接卷入冲突的各国重归于好。
"
property,"n.性质，性能；财产；所有权
","1. The hotel is not responsible for any loss or damage to guests’ personal property .
宾馆对住客个人财物的丢失和损坏概不负责。
2. Some of the stolen property was found in Mason’s house.
在梅森家里找到了部分被盗财物。
"
warm,"adj.温暖的；热情的
v.同情；激动；变温暖
n.取暖；加热
","1. The house was lovely and warm.
那房子漂亮温暖。
2. I hope we get some warm weather soon.
我希望天气很快就会回暖。
3. I’ve put your dinner in the oven to keep it warm.
我把你的饭菜放进了烤箱里保温。
4. warm water
温水
"
skeptical,"adj.怀疑的；怀疑论的，不可知论的
","1. Not all theory that we read in this course is skeptical.
我们在这门课中提及的理论不全是怀疑性的。
2. L.M.:Well, I was skeptical myself in the beginning. But these are facts. The findings are very reproducible and we are waiting for confirmation by other labs.
大爷：我老人家一开始也是很怀疑的。但是这个是事实。这个发现可以被反复验证，我们正在等待别的实验是的验证。
"
authority,"n.权威；权力；当局
","1. an agreement between the US and Colombian authorities
美国和哥伦比亚当局的一份协议
"
primary,"adj.主要的；初级的；基本的
n.原色；最主要者
","1. Our primary concern is to provide the refugees with food and health care.
我们的头等大事是向难民提供食品和医疗。
2. Many of the villagers rely on fishing as their primary source of income.
很多村民以打鱼作为他们的主要收入来源。
3. Personal safety is of primary importance .
人身安全至关重要。
"
politician,"n.政治家，政客
","1. politicians who are trying to get the minority vote
努力争取少数族群选票的政治家
2. a British Labour politician
英国工党政治家
"
step,"n.步，脚步；步骤；步伐；梯级
v.踏，踩；走
","1. a video of baby’s first steps
一盒婴儿学步的录像带
2. He took one step and fell.
他走了一步就跌倒了。
3. I had to retrace my steps (= go back the way I came ) several times before I found the shop.
我来回走了几次才找到那家商店。
"
responsibility,"n.责任，职责；义务
","1. Kelly’s promotion means more money and more responsibility.
凯利获得提升，这意味着钱多了，责任也更大了。
"
possibility,"n.可能性；可能发生的事物
","1. There’s always a possibility that he might go back to Seattle.
他也许会回到西雅图去，这种可能性一直存在。
2. the possibility of an enemy attack
敌人进攻的可能性
3. There was no possibility of changing the voting procedure.
改变投票程序是不可能的。
4. A peace settlement now looks like a real possibility .
达成和平协议现在看来有很大的可能性。
5. Tomorrow, there’s a remote possibility of snow on high ground.
明天高原地区下雪的可能性甚微。
6. They might get married – it’s not beyond the bounds of possibility .
他们也许会结婚——这并非不可能。
7. The study raises the possibility that dieting is bad for your health.
那项研究指出节食有可能损害健康。
"
chemical,"n.化学制品，化学药品
adj.化学的
","1. the organic chemicals industry
有机化学工业
2. synthetic chemicals
合成化学品
"
indicate,"v.表明；指出；预示；象征
","1. The study indicates a connection between poverty and crime.
研究显示贫穷和犯罪有关联。
"
critical,"adj.鉴定的；[核] 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
","1. He made some highly critical remarks.
他发表了一些严厉的批判性言论。
"
southern,"adj.南的；南方的
n.南方人
","1. a southern accent
南部口音
2. Southern Italy
意大利南部
"
importance,"n.价值；重要；重大；傲慢
","1. He was full of his own importance (= he behaved in an annoying way which showed that he thought he was very important ).
他自以为很了不起。
"
adjust,"v.调整，使…适合；校准
","1. Check and adjust the brakes regularly.
经常检查并调节刹车装置。
2. Taste the soup and adjust the seasoning.
尝尝汤的味道，然后调整佐料用量。
3. If your employment status changes, your tax code will be adjusted accordingly.
如果就业状况改变，你的免税代码也会作相应调整。
"
scale,"n.规模；比例；鳞；刻度；天平；数值范围
v.衡量；攀登；剥落；生水垢
","1. A structural survey revealed the full scale of the damage.
结构检验揭示了实际受损程度。
2. I was shocked by the sheer scale (= very big scale ) of the destruction.
破坏程度之大让我大为震惊。
3. Large firms benefit from economies of scale (= ways of saving money because they are big ) .
大公司从规模经济中得益。
"
everyday,"adj.每天的，日常的
n.平时；寻常日子
","1. the problems of everyday life
日常生活中的问题
2. wearing everyday clothes
穿平常衣服
3. a simple, everyday object
简单的日常物品
4. Describe it in ordinary everyday language.
用一般的日常语言把它描述一下。
"
philosopher,"n.哲学家；哲人
","1. Plato, Aristotle, and other Greek philosophers
柏拉图、亚里士多德和其他希腊哲学家
"
magazine,"n.杂志；弹药库；胶卷盒
","1. a magazine article
杂志中的文章
2. She glanced over the magazine racks.
她扫了一眼杂志架。
"
