word,word_sen,word_sen_trans,trans,example
security,terrorist activity that is a threat to national security,威胁国家安全的恐怖活动,"n.安全(感)；防御(物),保证(人)；(pl.)证券
","1. terrorist activity that is a threat to national security
威胁国家安全的恐怖活动
2. One of the sales clerks called security.
有一名销售员给保安部门打了电话。
3. Workers want greater job security (= not being in danger of losing your job ) .
工人们希望有更多的工作保障。
4. National banks can package their own mortgages and underwrite them as securities.
国家银行可以组合包装自己的的抵押贷款,以证券形式承销。
"
induce,Nothing would induce me to vote for him again.,没有什么能诱使我再投他的票了。,"v.引诱,劝使；引起,导致
","1. Nothing would induce me to vote for him again.
没有什么能诱使我再投他的票了。
2. Patients with eating disorders may use drugs to induce vomiting.
患有进食障碍的人可使用药物催吐。
"
prosperous,a prosperous landowner,富裕的土地拥有者,"adj.繁荣的,兴旺的,茂盛的,顺利的
","1. a prosperous landowner
富裕的土地拥有者
"
cohesive,a cohesive community,团结的社区,"adj.团结的，有凝聚力的
","1. a cohesive community
团结的社区
"
merchandise,A range of official Disney merchandise was on sale.,一系列正版的迪士尼商品在出售。,"n.商品,货物
","1. A range of official Disney merchandise was on sale.
一系列正版的迪士尼商品在出售。
2. They inspected the merchandise carefully.
他们仔细地检查了商品。
"
resign,She resigned from the government last week.,上星期她辞去了政府部门的工作。,"v.辞去,辞职；使听从(于),使顺从
","1. She resigned from the government last week.
上星期她辞去了政府部门的工作。
2. Josh resigned himself to the long walk home.
乔希只好走很长的路回家。
"
battery,You have to take the top off to change the batteries .,你得把顶盖拿掉才能更换电池。,"n.电池(组)；(器具等的)一组，一套；炮兵连
","1. You have to take the top off to change the batteries .
你得把顶盖拿掉才能更换电池。
2. When the red light comes on, you should recharge the battery .
红灯亮起的时候你就应该给电池充电了。
3. a battery of medical tests
一组医疗化验
4. an anti-aircraft battery
防空炮
"
motivate,Was he motivated solely by a desire for power?,他只是受到权欲的驱使吗？,"v.作为…的动机；促动，激励，鼓励
","1. Was he motivated solely by a desire for power?
他只是受到权欲的驱使吗？
2. A good teacher has to be able to motivate her students.
好教师必须能够激发学生的积极性。
"
alleviate,measures to alleviate poverty,扶贫措施,"v.减轻，缓和，缓解(痛苦等)
","1. measures to alleviate poverty
扶贫措施
"
senate,The Senate approved the bill.,参议院批准了这项议案。,"n.参议院,上院
","1. The Senate approved the bill.
参议院批准了这项议案。
"
portray,Romantic artists portrayed nature as wild and powerful.,浪漫主义艺术家描绘的大自然是狂野而强大的。,"v.描写，描绘
","1. Romantic artists portrayed nature as wild and powerful.
浪漫主义艺术家描绘的大自然是狂野而强大的。
2. His most famous painting portrayed the death of Nelson.
他最著名的画作描绘的是纳尔逊之死。
"
commercial,Our top priorities must be profit and commercial growth.,我们必须把利润和贸易增长作为我们的第一要务。,"adj.商业的；商务的；可获利的
n.广告节目
","1. Our top priorities must be profit and commercial growth.
我们必须把利润和贸易增长作为我们的第一要务。
2. The film was a huge commercial success.
这部电影获利非常丰厚。
3. a soap powder commercial
肥皂粉广告
"
generator,an emergency generator,应急发电机,"n.发电机,发生器
","1. an emergency generator
应急发电机
"
cape,...a woollen cape.,…一件羊毛披肩。,"n.披肩，短披风；海角，岬
","1. ...a woollen cape.
…一件羊毛披肩。
2. Cape Cod
科德角
"
intervene,The army will have to intervene to prevent further fighting.,军队将不得不干预以阻止进一步的战斗。,"v.(in)干涉,干预;插入,介入
","1. The army will have to intervene to prevent further fighting.
军队将不得不干预以阻止进一步的战斗。
"
mercy,He showed no mercy to his enemies.,他对敌人毫不仁慈。,"n.仁慈,怜悯,宽恕
","1. He showed no mercy to his enemies.
他对敌人毫不仁慈。
2. God have mercy on his soul.
愿上帝宽恕他的灵魂。
"
prevent,The rules are intended to prevent accidents.,这些规定旨在预防事故。,"v.(from)预防,防止,阻止,制止,妨碍
","1. The rules are intended to prevent accidents.
这些规定旨在预防事故。
2. We were prevented from entering the site.
我们被阻止进入现场。
3. Wrap small ornaments in paper to prevent them being damaged.
把小饰品用纸包上以免损坏。
"
capable,I don’t think he’s capable of murder.,我认为他没有能力杀人。,"adj.有本领的,有能力的;(of)可以…的,能…的
","1. I don’t think he’s capable of murder.
我认为他没有能力杀人。
2. The company isn’t capable of handling an order that large.
那家公司没有能力应付那么大的订单。
3. I’m perfectly capable of looking after myself, thank you!
我完全能够自己照顾自己，多谢了！
"
tractor,Iron-ox is another name for tractor.,铁牛是拖拉机的别名。,"n.拖拉机,牵引车
","1. Iron-ox is another name for tractor.
铁牛是拖拉机的别名。
2. The tractor hauled the fertilizer away.
拖拉机把肥料拉走了。
3. In addition to the tractor, we have acquired a new rice transplanter.
除了拖拉机， 我们又添了一台插秧机。
"
visual,Artists translate their ideas into visual images.,画家把自己的思想转换成视觉画面。,"adj.视觉的，视力的
","1. Artists translate their ideas into visual images.
画家把自己的思想转换成视觉画面。
2. The tall tower adds to the visual impact of the building.
高高的塔楼增强了这幢大楼的视觉效果。
"
simulate,a machine that simulates conditions in space,一台模拟太空环境的机器,"v.模仿,模拟；假装,冒充
","1. a machine that simulates conditions in space
一台模拟太空环境的机器
2. He found it impossible to simulate grief.
他无法装出悲伤的样子。
"
valuable,a valuable painting,一幅名贵的画,"adj.贵重的,有价值的
n.(pl.)贵重物品,财宝
","1. a valuable painting
一幅名贵的画
2. Guests should leave their valuables in the hotel safe.
客人应把贵重物品存放在酒店保险柜中。
"
productive,Most of us are more productive in the morning.,我们大多数人在早上更有效率。,"adj.能产的,多产的；生产(性)的
","1. Most of us are more productive in the morning.
我们大多数人在早上更有效率。
2. a highly productive meeting
富有成效的会议
3. the economy’s productive capacity
该经济体的生产能力
"
detect,Many forms of cancer can be cured if detected early.,如果发现得早，许多种癌症都可以治愈。,"v.察觉,发觉,侦察,探测
","1. Many forms of cancer can be cured if detected early.
如果发现得早，许多种癌症都可以治愈。
"
fracture,a stress fracture in his left knee,他左膝上的应力性骨折,"n.裂缝(痕);骨折
v.(使)断裂,(使)折断
","1. a stress fracture in his left knee
他左膝上的应力性骨折
2. a hairline fracture
细小的裂缝
3. The immense pressure causes the rock to fracture.
巨大的压力造成岩石断裂。
"
sensation,One sign of a heart attack is a tingling sensation in the left arm.,心脏病发作的一个征兆是左臂有刺痛感。,"n.感觉,知觉；激动,轰动,轰动一时的事情
","1. One sign of a heart attack is a tingling sensation in the left arm.
心脏病发作的一个征兆是左臂有刺痛感。
2. She was just 14 when she caused a sensation at the Montreal Olympics.
她在蒙特利尔奥运会上引起轰动时，年仅14岁。
"
improve,a course for students wishing to improve their English,为想提高英语水平的学生开设的一门课,"v.改善，改进；变得更好
","1. a course for students wishing to improve their English
为想提高英语水平的学生开设的一门课
2. The doctors say she is improving (= after being ill ).
医生说她正在康复。
3. You could use the money for improving your home.
你可以用这笔钱改善家居。
4. Many wines improve with age (= get better as they get older ).
很多葡萄酒年代越久越香醇。
"
recall,"You don’t happen to recall his name, do you?",你不会恰巧还想得起他的名字吧？,"v.回忆,回想；撤消,收回
","1. You don’t happen to recall his name, do you?
你不会恰巧还想得起他的名字吧？
2. The cars had to be recalled due to an engine fault.
由于发动机缺陷，那些汽车必须召回。
"
affection,She looked back on those days with affection .,她深情地回顾那些日子。,"n.喜爱，钟爱；慈爱
","1. She looked back on those days with affection .
她深情地回顾那些日子。
2. Their father never showed them much affection .
他们的父亲对他们从来没有表现出多少慈爱。
3. The church was held in great affection (=  loved and cared about a lot  ) by the local residents.
教会深受当地民众爱戴。
"
formulate,"Little by little, he formulated his plan for escape.",他一点一点地构想出了他的逃跑计划。,"v.规划；制定；准备；仔细思考并明确表达
","1. Little by little, he formulated his plan for escape.
他一点一点地构想出了他的逃跑计划。
2. We are studying the situation but have not formulated any response yet.
我们正在研究形势，但尚未考虑好如何回应。
"
conversely,"American consumers prefer white eggs; conversely, British buyers like brown eggs.",美国的消费者喜欢白色的鸡蛋，而英国的消费者却相反，他们喜欢棕色的鸡蛋。,"adv.相反地
","1. American consumers prefer white eggs; conversely, British buyers like brown eggs.
美国的消费者喜欢白色的鸡蛋，而英国的消费者却相反，他们喜欢棕色的鸡蛋。
"
graceful,Her movements were graceful and elegant.,她举手投足优雅而高贵。,"adj.优美的,文雅的,大方的
","1. Her movements were graceful and elegant.
她举手投足优雅而高贵。
2. The branches formed a graceful curve.
那些树枝形成一条优美的曲线。
"
monkey,The monkey is beating up and down.,那只猴子到处乱窜。,"n.猴子
","1. The monkey is beating up and down.
那只猴子到处乱窜。
2. The monkey engulfed the food whole.
这只猴子囫囵吞下食物。
3. The monkey had deflowered an entire section of the garden.
这只猴子把花园中一整块地方的花都糟蹋了。
"
positive,Her husband became much more positive and was soon back in full-time employment.,她丈夫变得积极多了，并且很快又干起了全职工作。,"adj.肯定的,积极的
","1. Her husband became much more positive and was soon back in full-time employment.
她丈夫变得积极多了，并且很快又干起了全职工作。
2. Write down all the positive things about your life.
记下生活中所有好的事情。
3. The rural environment was having a positive effect on the children’s health.
乡村环境对孩子们的健康有好处。
4. It’s been a very positive experience for her.
那对她来说是一次非常有益的经历。
5. TV can be a positive influence .
电视也会有好的影响。
6. the positive contribution to the community made by many older people
许多老年人为社区做出的积极贡献
7. It’s been a difficult time but, on the positive side , I feel physically fine.
日子过得不容易，不过从好的方面看，我的身体状况还不错。
8. Women should be portrayed in a more positive light .
应该从更正面的角度来描绘女性。
"
access,Access to the papers is restricted to senior management.,只有高级管理层才有权查阅这些文件。,"n.进入；接入；到达；享用权；入口
v.存取
","1. Access to the papers is restricted to senior management.
只有高级管理层才有权查阅这些文件。
2. We’re trying to improve access for disabled visitors.
我们正在设法给残障访客的出入提供便利。
3. Access is by means of a small door on the right.
入口是右边的一扇小门。
4. Users can access their voice mail remotely.
用户可以远程获取语音邮件。
"
panel,He assembled a panel of scholars to advise him.,他集结了一个学者小组为他出谋划策。,"n.专门小组；面板，控制板，仪表盘
","1. He assembled a panel of scholars to advise him.
他集结了一个学者小组为他出谋划策。
2. ...the frosted glass panel set in the centre of the door.
…嵌在门中心的毛玻璃板。
3. The equipment was extremely sophisticated and was monitored from a central control panel.
这台设备极其复杂，是由中央控制面板监控的。
"
erect,"an imposing town hall, erected in 1892",一座气势宏伟的市政厅，建于1892年,"v.建立；树立,使竖立
adj.直立的,垂直的
","1. an imposing town hall, erected in 1892
一座气势宏伟的市政厅，建于1892年
2. It took a couple of hours to erect the tent.
搭帐篷花了几个小时。
3. Martin stood erect on the platform.
马丁在讲台上笔直地站着。
"
oppose,Congress is continuing to oppose the President’s health care budget.,国会继续反对总统的医疗保健预算。,"v.反对,使对立,使对抗,使相对
","1. Congress is continuing to oppose the President’s health care budget.
国会继续反对总统的医疗保健预算。
"
void,he original elections were declared void by the former military ruler.,原来的选举被前军事首领宣布为无效。,"adj.无效的；毫无…的，缺乏…的
","1. he original elections were declared void by the former military ruler.
原来的选举被前军事首领宣布为无效。
2. Her eyes were void of all expression.
她的眼神一片茫然。
"
consumption,Vigorous exercise increases oxygen consumption.,剧烈运动增加氧的消耗。,"n.消费(量),消耗
","1. Vigorous exercise increases oxygen consumption.
剧烈运动增加氧的消耗。
"
ambassador,...the German ambassador to Poland.,…德国驻波兰大使。,"n.大使；特使，(派驻国际组织的)代表
","1. ...the German ambassador to Poland.
…德国驻波兰大使。
"
versatile,a very versatile performer,多才多艺的表演者,"adj.多才多艺的；有多种用途的，多功能的，万用的
","1. a very versatile performer
多才多艺的表演者
2. The potato is an extremely versatile vegetable.
马铃薯是一种用途极广的蔬菜。
"
vital,The work she does is absolutely vital.,她所做的工作至关重要。,"adj.生死攸关的,重大的；生命的,生机的
","1. The work she does is absolutely vital.
她所做的工作至关重要。
2. Rodgers and Hart’s music sounds as fresh and vital as the day it was written.
罗杰斯与哈特的音乐现在听来还有刚写成时的那份清新和活力。
"
evoke,The photographs evoked strong memories of our holidays in France.,那些照片勾起了我们到法国度假的深刻回忆。,"v.唤起(回忆、感情等)；引起
","1. The photographs evoked strong memories of our holidays in France.
那些照片勾起了我们到法国度假的深刻回忆。
2. His appearance is bound to evoke sympathy.
他的外表肯定会引起人们的同情。
3. Her speech evoked a hostile response.
她的讲话引起了敌对的反应。
"
dominate,The industry is dominated by five multinational companies.,这个行业受五家跨国公司控制。,"v.支配,统治,控制
","1. The industry is dominated by five multinational companies.
这个行业受五家跨国公司控制。
2. New Orleans dominated throughout the game.
新奥尔良队自始至终都控制着这场比赛。
3. Her loud voice totally dominated the conversation.
她的大嗓门完全主导着这场谈话。
4. Education issues dominated the election campaign.
教育问题成了这次选举活动的主要辩题。
"
desolate,a desolate landscape,荒凉的景色,"adj.荒凉的;孤独的
v.使荒芜
","1. a desolate landscape
荒凉的景色
2. David was desolated by his wife’s death.
妻子的死使戴维悲痛万分。
"
accept,Rick accepted her offer of coffee.,她请里克喝咖啡，他接受了。,"v.接受；认可，同意
","1. Rick accepted her offer of coffee.
她请里克喝咖啡，他接受了。
2. He accepted the invitation to stay with us.
他接受了邀请来我们家住。
3. His school reports said that he is always ready to accept a challenge (=  agree to do something difficult  ) .
他的学业报告上说他乐于接受挑战。
4. Please accept this small gift.
请收下这份小小的礼物。
5. They offered me a job and I accepted.
他们给我一份工作，我接受了。
6. He readily accepted her invitation (=  accepted it quickly  ) .
他欣然接受了她的邀请。
"
secondary,the novel’s secondary characters,这本小说中的次要人物,"adj.次要的,二级的；(教育) 中等的
","1. the novel’s secondary characters
这本小说中的次要人物
2. Examinations are taken after about five years of secondary education.
经过约五年的中等教育后参加考试。
"
physiological,"If so, this would add to a growing list of physiological and biological markers of sexual orientation.",如果是这样，这可能会给生理和生物学上的性取向标记增加一长串名单。,"adj.生理学的, 生理学上的
","1. If so, this would add to a growing list of physiological and biological markers of sexual orientation.
如果是这样，这可能会给生理和生物学上的性取向标记增加一长串名单。
2. The study aims to determine whether there is actually a physiological basis to the disease.
他们研究的目的在于去确定是否真的有这种疾病的生理基础。
"
pronunciation,She gave the word its French pronunciation.,她给出了这个单词的法语发音。,"n.发音,发音方法
","1. She gave the word its French pronunciation.
她给出了这个单词的法语发音。
"
commerce,measures promoting local commerce and industry,促进地方工商业发展的措施,"n.买卖，贸易；商务；商业
","1. measures promoting local commerce and industry
促进地方工商业发展的措施
"
commodity,agricultural commodities,农业商品,"n.商品
","1. agricultural commodities
农业商品
2. Commodity prices fell sharply.
商品价格急剧下跌。
"
video,Let’s stay at home and watch a video.,我们待在家里看录像吧。,"n.录影，录像
adj.电视的,视频的;录像的
","1. Let’s stay at home and watch a video.
我们待在家里看录像吧。
2. Rewind the video right to the beginning.
把录像倒退到开头部分。
3. The school will be making a video of the play.
学校将把这出戏拍摄成录像。
4. video production
录像制作
"
selection,The judges have made their final selection.,评委已经作出最后的评选。,"n.选择,挑选；挑选出来的东西
","1. The judges have made their final selection.
评委已经作出最后的评选。
2. To order, just write your selections on the form.
订购只需在表上写下你所选的东西。
"
procession,They marched in procession to the Capitol building.,他们列队向国会大厦行进。,"n.队伍,行列
","1. They marched in procession to the Capitol building.
他们列队向国会大厦行进。
"
bath,"After a week of camping, I really needed a bath.",我露营了一个星期，实在得洗个澡了。,"n.沐浴,洗澡；浴缸，澡盆
v.(给…)洗澡
","1. After a week of camping, I really needed a bath.
我露营了一个星期，实在得洗个澡了。
2. ...a gigantic pink marble bath.
…一个巨大的粉红色大理石浴缸。
3. I’ll bath the children.
我要给孩子们洗澡了。
"
furious,She was absolutely furious .,她怒不可遏。,"adj.狂怒的,狂暴的,猛烈的
","1. She was absolutely furious .
她怒不可遏。
"
conspiracy,There were many conspiracy theories (= beliefs that something is the result of a conspiracy ) surrounding Princess Diana’s death.,围绕戴安娜王妃之死有许多阴谋论。,"n.阴谋，密谋，共谋
","1. There were many conspiracy theories (= beliefs that something is the result of a conspiracy ) surrounding Princess Diana’s death.
围绕戴安娜王妃之死有许多阴谋论。
"
intellectual,a leading British intellectual,一位顶尖的英国知识分子,"n.知识分子
adj.智力的，理智的，有理解力的
","1. a leading British intellectual
一位顶尖的英国知识分子
2. High levels of lead could damage the intellectual development of children. 。
高含铅量会损害儿童的智力发育。
"
calcium,"What you eat and drink, from childhood on, is critical to the amount of calcium in your bones.",从儿童时期起，你所吃的食物和饮用的饮料，对骨骼中的钙含量都是很关键的。,"n.钙(化学符号Ca)
","1. What you eat and drink, from childhood on, is critical to the amount of calcium in your bones.
从儿童时期起，你所吃的食物和饮用的饮料，对骨骼中的钙含量都是很关键的。
"
sentiment,Similar sentiments were expressed by many politicians.,许多政治家都表达了相同的观点。,"n.意见，观点，感想；多愁善感；感情因素
","1. Similar sentiments were expressed by many politicians.
许多政治家都表达了相同的观点。
2. There’s no place for sentiment in business!
做生意哪能感情用事！
"
provision,He made provisions for his wife and his children in his will.,在遗嘱里他为妻子和孩子都做好了安排。,"n.提供，供给；预备
","1. He made provisions for his wife and his children in his will.
在遗嘱里他为妻子和孩子都做好了安排。
"
anticipate,Sales are better than anticipated.,销量比预期要好。,"v.预料；期望；预先考虑；抢先；提前使用
","1. Sales are better than anticipated.
销量比预期要好。
2. Daniel was eagerly anticipating her arrival.
丹尼尔热切地期待着她的到来。
3. Copernicus anticipated in part the discoveries of the 17th and 18th centuries.
17和18世纪的发现中有一部分早为哥白尼所发现。
"
progressive,a progressive administration,进步的政府,"adj.进步的,先进的;前进的
","1. a progressive administration
进步的政府
2. progressive and forward-looking policies
有前瞻性的进步政策
"
documentary,One of the most useful sources of documentary evidence is maps.,最有价值的文献证据之一就是地图。,"adj.文献的
n.记录片
","1. One of the most useful sources of documentary evidence is maps.
最有价值的文献证据之一就是地图。
2. ...a TV documentary on homelessness.
…一部关于无家可归现象的电视记录片。
"
inclusive,The fully inclusive fare for the trip is £22.,这次出行的全部费用为22英镑。,"adj.包括的,包含的；范围广的
","1. The fully inclusive fare for the trip is £22.
这次出行的全部费用为22英镑。
2. Not everyone shares his vision of an inclusive America.
不是所有人都同意他的观点，认为美国是个包容性很强的国家。
"
isle,the British Isles,不列颠群岛,"n.小岛(用于诗歌中)
","1. the British Isles
不列颠群岛
"
disposal,bomb disposal experts,拆弹专家,"n.丢弃，处理
","1. bomb disposal experts
拆弹专家
"
grand,a grand country house,豪华的乡间大宅,"adj.宏伟的，壮丽的，隆重的
","1. a grand country house
豪华的乡间大宅
2. Henry Luce had a grand design for America’s future.
亨利·卢斯为美国的未来设计了一幅宏伟蓝图。
"
bar,a chocolate bar,一条巧克力,"n.条,杆,闩;酒吧;栅,障碍(物)
v.阻挡，阻拦
","1. a chocolate bar
一条巧克力
2. The hotel has a licensed bar .
宾馆里有一家有售酒许可证的酒吧。
3. houses with bars across the windows
窗户上钉有铁条的房屋
4. She ran back, but Francis barred her way .
她往回跑，可是弗朗西斯拦住了她。
"
prospective,The story should act as a warning to other prospective buyers.,这篇报道应该可以对其他可能的购买者起到警告作用。,"adj.预期的
","1. The story should act as a warning to other prospective buyers.
这篇报道应该可以对其他可能的购买者起到警告作用。
"
romance,The romance had gone out of their relationship.,他们之间已经没有了爱意。,"n.爱情；恋爱
","1. The romance had gone out of their relationship.
他们之间已经没有了爱意。
"
supervise,Griffiths closely supervised the research.,格里菲思密切指导该项研究。,"v.管理,监督
","1. Griffiths closely supervised the research.
格里菲思密切指导该项研究。
"
medicine,Medicines should be kept out of the reach of children.,药应放在孩子够不到的地方。,"n.内服药,医药；医术;医学
","1. Medicines should be kept out of the reach of children.
药应放在孩子够不到的地方。
2. Have you been taking your medicine ?
你一直在服药吗？
3. the remarkable achievements of modern medicine
现代医学的非凡成就
"
verse,Let’s sing the last verse again.,我们把最后一节再唱一遍吧。,"n.〔歌曲、诗歌、《圣经》等的〕一节；韵文,诗;诗节,诗句
","1. Let’s sing the last verse again.
我们把最后一节再唱一遍吧。
2. Learn the first two verses of the poem by heart.
把这首诗的头两节背下来。
3. a book of comic verse
一本滑稽诗集
"
effect,the long-term effects of the drug,这种毒品的长期影响,"n.效应；影响；结果
v.引起；使发生
","1. the long-term effects of the drug
这种毒品的长期影响
2. I could feel the effects of the thin mountain air.
我能感觉到山上稀薄空气产生的影响。
3. This ingredient also has the effect of making your skin look younger.
这种成分还有使皮肤看上去更年轻的效果。
4. A system failure has a knock-on effect throughout the whole hotel.
系统故障会给整个酒店带来连锁反应。
5. the cumulative effect of human activities on the global environment
人类活动对全球环境日积月累的影响
6. A much lower dose of the painkiller can still produce the desired effect.
大量减少该止痛药的服用剂量依然能产生预期的效果。
7. In mental illness, there is a complex relationship between cause and effect.
精神疾病有复杂的因果关系。
8. Many parents lack confidence in their ability to effect change in their children’s behaviour.
许多父母对自己是否有能力改变子女的行为缺乏信心。
"
aggressive,Jim’s voice became aggressive.,吉姆的声音凶了起来。,"adj.侵略的，好斗的；有进取心的
","1. Jim’s voice became aggressive.
吉姆的声音凶了起来。
2. A successful businessman has to be aggressive.
成功的实业家必须得有股冲劲。
"
art,the Museum of Modern Art in New York,纽约现代艺术博物馆,"n.美术，艺术；技术，技艺；文科，人文科学
","1. the Museum of Modern Art in New York
纽约现代艺术博物馆
2. an art exhibition
艺术作品展
3. Television is ruining the art of conversation.
电视在糟蹋会话艺术。
4. ...arts and social science graduates.
…人文与社会科学的毕业生们。
"
month,I hope I’ll have finished the work by the end of the month .,我希望我这个月底能完成工作。,"n.月,月份
","1. I hope I’ll have finished the work by the end of the month .
我希望我这个月底能完成工作。
2. She earns about £350 a month (= each month ) .
她每月约挣350英镑。
3. We update the schedule at least once a month.
我们至少每月更新一次日程表。
"
diverse,subjects as diverse as pop music and archaeology,像流行音乐和考古学这样各不相同的学科,"adj.多种多样的,不同的
","1. subjects as diverse as pop music and archaeology
像流行音乐和考古学这样各不相同的学科
"
curtain,red velvet curtains,红色的丝绒窗帘,"n.窗帘,门帘；幕(布)
v.用帘子隔开
","1. red velvet curtains
红色的丝绒窗帘
2. Before the curtain went up, the dancers took their places on stage.
幕拉起之前，舞蹈演员都在舞台上站好了位置。
3. The room was curtained off by red drapes.
这个房间被红帘子隔开了。
"
recover,Four paintings stolen from the gallery have been recovered.,美术馆的四幅被盗画作已经失而复得。,"v.重新获得；(from)恢复,痊愈
","1. Four paintings stolen from the gallery have been recovered.
美术馆的四幅被盗画作已经失而复得。
2. He’s in hospital, recovering from a heart attack.
他心脏病发作住院了，正在康复之中。
"
possibly,This last task is possibly the most difficult.,这最后一项任务也许是最难的。,"adv.可能，也许，或许
","1. This last task is possibly the most difficult.
这最后一项任务也许是最难的。
2. It will take three weeks, possibly longer.
要花三个星期，也许更久。
3. ‘Will you be here tomorrow?’ ‘Possibly.’
“你明天到这儿来吗？”“也许吧。”
4. ‘Was it murder?’ ‘ Quite possibly (= it is very likely ) .’
“是谋杀吗？”“很可能是。”
"
middle,We rowed out towards the middle of the lake.,我们朝湖中央划去。,"n.中间,当中
adj.中间的,当中的
","1. We rowed out towards the middle of the lake.
我们朝湖中央划去。
2. driving in the middle lane of the motorway
在高速公路的中间车道上行驶
"
illustration,The book contains 62 pages of illustrations.,这本书有62页插图。,"n.插图，图解；说明；例证
","1. The book contains 62 pages of illustrations.
这本书有62页插图。
2. a striking illustration of 19th-century attitudes to women
19世纪时对待女性态度的鲜明例证
"
equip,They spent a lot of money equipping the school with new computers.,他们花了很多钱给学校配备新计算机。,"v.(with)装备,配备；训练
","1. They spent a lot of money equipping the school with new computers.
他们花了很多钱给学校配备新计算机。
2. Relative poverty, however, did not prevent Martin from equipping himself with an excellent education.
然而相对的贫穷并没有妨碍马丁接受良好教育。
"
market,I usually buy all my vegetables at the market.,我通常都是在菜市场里购买蔬菜。,"n.集市,市场；销路,需求(量)
v.销售
","1. I usually buy all my vegetables at the market.
我通常都是在菜市场里购买蔬菜。
2. There’s a good antiques market here on Sundays.
每逢周日这里都会有一个不错的古玩集市。
3. If you could ever figure out how to market this you’d make a fortune..
如果能想出办法来推销这个东西，你就发财了。
"
sister,Janet and Abby are sisters.,珍妮特和阿比是两姐妹。,"n.姐，妹；护士长；修女，女教士
","1. Janet and Abby are sisters.
珍妮特和阿比是两姐妹。
2. the ward sister
病房护士长
3. Good morning, Sister Mary.
早上好，玛丽修女。
"
generous,She’s always very generous to the kids.,她对小孩总是很大方。,"adj.慷慨的；宽宏大量的
","1. She’s always very generous to the kids.
她对小孩总是很大方。
2. She was generous enough to overlook my little mistake.
她非常宽宏大量，不计较我的小过失
"
democracy,a return to democracy after 16 years of military rule,16年军人统治后民主制度的恢复,"n.民主,民主制；民主国家
","1. a return to democracy after 16 years of military rule
16年军人统治后民主制度的恢复
2. a parliamentary democracy
议会民主制国家
"
sometime,The sales figures won't be released until sometime next month.,销售数据要到下个月的某个时候才会公布。,"adv.将来(或过去)某个时候
adj.以前的
","1. The sales figures won't be released until sometime next month.
销售数据要到下个月的某个时候才会公布。
2. Sir Richard Marsh, the sometime chairman of British Rail
理查德•马什爵士，英国铁路公司前董事长
"
consist,Happiness does not consist in how many possessions you own.,幸福不在于你拥有多少财产。,"v.(in)在于；(of)由…组成,由…构成
","1. Happiness does not consist in how many possessions you own.
幸福不在于你拥有多少财产。
2. My diet consisted almost exclusively of chocolate-covered cookies and glasses of milk.
我的饮食几乎只包含裹上巧克力的曲奇饼和一杯杯牛奶。
"
temporary,temporary pain relief,疼痛的暂时缓解,"adj.暂时的,临时的
","1. temporary pain relief
疼痛的暂时缓解
2. I’m living with my parents, but it’s only temporary.
我和父母住在一起，但这只是暂时的。
3. You might want to consider temporary work until you decide what you want to do.
在你定下来想做什么之前，也许可以考虑干点临时性工作。
4. She was employed on a temporary basis .
她是受雇干临时性工作的。
"
incidentally,"Incidentally, where were you born?",顺便问一下，你在哪儿出生的？,"adv.附带地,顺便提及
","1. Incidentally, where were you born?
顺便问一下，你在哪儿出生的？
2. The wine, incidentally, goes very well with a mature cheese.
顺便说一下，这种葡萄酒配熟干酪味道很好。
"
architect,They commissioned an architect to design the new library.,他们委托一位建筑师设计这座新图书馆。,"n.建筑师；设计师；缔造者；创造者
","1. They commissioned an architect to design the new library.
他们委托一位建筑师设计这座新图书馆。
2. Tinoco was one of the architects of the government’s economic reforms.
蒂诺科是政府经济改革的设计师之一。
"
movement,the civil rights movement of the 1960s,20世纪60年代的民权运动,"n.运动；活动；移动,迁移
","1. the civil rights movement of the 1960s
20世纪60年代的民权运动
2. the dancer’s graceful movements
舞蹈演员优美的动作
3. They actually monitor the movement of the fish going up river.
他们实际上在观测鱼向上游的迁移活动。
"
municipal,The municipal authorities gave the go-ahead for the march.,市政当局批准了此次游行。,"adj.市政府的，市的，市办的
","1. The municipal authorities gave the go-ahead for the march.
市政当局批准了此次游行。
2. ...next month's municipal elections.
…下个月的市政选举。
"
Catholic,...the Catholic Church.,…天主教会。,"adj.天主教的
n.天主教徒
","1. ...the Catholic Church.
…天主教会。
2. At least nine out of ten Mexicans are baptized Catholics.
至少十分之九的墨西哥人是受过洗礼的天主教徒。
"
generate,a useful technique for generating new ideas,能产生新创意的有用技术,"v.产生,发生
","1. a useful technique for generating new ideas
能产生新创意的有用技术
2. The program would generate a lot of new jobs.
这个项目将创造许多新的就业岗位。
"
simplicity,Mona wrote with a beautiful simplicity of style.,莫娜的文笔朴实优美。,"n.简单,简易;朴素;直率,单纯
","1. Mona wrote with a beautiful simplicity of style.
莫娜的文笔朴实优美。
2. For the sake of simplicity, the tax form is divided into three sections.
为简明起见，税单分成三个部分。
3. James’ solution to this problem was simplicity itself (= very simple ) .
詹姆斯对这个问题的解决办法十分简单。
"
absent,students who are regularly absent from school,经常缺课的学生,"adj.缺席的；缺乏的，不在场的；心不在焉的
","1. students who are regularly absent from school
经常缺课的学生
2. plans to force absent fathers to pay child maintenance
强制不和小孩生活在一起的父亲支付抚养费的计划
3. The dull, absent look on her face implied boredom.
她脸上呆滞、茫然的神情说明她觉得无聊了。
"
